Question,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7
Are you currently:,Active Duty,Reserve/National Guard,Activated Reserve/National Guard,Retired,,,
What branch of service?,Air Force,Army,Marines,Navy,Coast Guard,Combination: ,
Highest paygrade?,E-1 to E-5,E-6 to E-9,WO-1 to WO-3,WO-4 to WO-5,O-1 to O-3 (O-1E to O-3E),O-4 to O-6,O-7 to O-9
How many total years of service?,0-4 yrs,5-9 yrs,10-14 yrs,15-19 yrs,20-24 yrs,25-29 yrs,30+ yrs
Have you ever been deployed?,Yes,No,,,,,
How many deployments?,1,2,3,4,5,6+,
Select all deployment areas,Iraq (OIF),Iraq (OND),Afghanistan (OEF),Other,,,
Were you involved in traumatic events?,Yes,No,,,,,
How often?,Daily,Weekly,Monthly,Less Frequently,,,
How would you rate your anxiety over the last 30 days?,1,2,3,4,5,,
Have you ever personally experienced a traumatic event?,Yes,No,,,,,
Was this event one of the following:,Sexual Assault,Combat Related,Close Family/Friend's Death,Fire,Natural Disaster,Physical Assualt,Other 
At what age did the traumatic event first occur?,0-5 yrs,6-17 yrs,18-39 yrs,40+,,,
"If applicable, have the police been notified?",Yes,No,,,,,
"If applicable, would you be interested in experimental treatments or research project?",Yes,No,,,,,
How long ago did this occur?,<1 month,1-2 months,2-12 months,1-5 yrs,5+ yrs,,
How long did the event take place?,once,2-5 times,months,years,,,
Does the traumatic event effect your day to day activities or work?,Yes,No,,,,,
In your daily life how much does this event effect you?,none,rarely,sometimes,usually,always,,
How often do you have nightmares about the event?,never,< once/month,1-2 times/month,weekly,nightly,,
How often do you avoid situations that may remind you of the event?,always,usually,sometimes,rarely,never,,
"How often do you see a psychiatrist, psychologist, therapist, social worker, or counselor?",never,< once/month,1-2 times/month,weekly,more frequently,,
How often do you feel like harming yourself or others?,none,rarely,sometimes,usually,always,,
How much does the traumatic event effect your day to day activity or work?,none,rarely,sometimes,usually,always,,
Being “super alert” or watchful or on guard? ,1,2,3,4,5,,
When these nightmares occur rate them,1,2,3,4,5,,
Feeling distant or cut off from other people since the event?,1,2,3,4,5,,
Feeling jumpy or easily startled?,1,2,3,4,5,,
Trouble remembering important parts of the stressful experience?,1,2,3,4,5,,
Trouble concentrating for periods of time?,1,2,3,4,5,,
